# OpenMATB scenario generator

# Name: incapacitation
# Date: 05/06/2023 15:31:47


# Block n° 1. Technical load = 0.0 %
0:00:00;track;start
0:00:00;track;targetproportion;1.0
0:00:00;sysmon;start
0:00:00;communications;start
0:00:00;resman;start
0:00:00;resman;tank-a-lossperminute;0
0:00:00;resman;tank-b-lossperminute;0

# Block n° 2. Technical load = 5.3 %
0:01:00;track;targetproportion;0.9473684210526316
0:01:22;sysmon;lights-2-failure;True
0:01:00;resman;tank-a-lossperminute;63
0:01:00;resman;tank-b-lossperminute;63

# Block n° 3. Technical load = 10.5 %
0:02:00;track;targetproportion;0.8947368421052632
0:02:44;sysmon;lights-2-failure;True
0:02:00;resman;tank-a-lossperminute;126
0:02:00;resman;tank-b-lossperminute;126

# Block n° 4. Technical load = 15.8 %
0:03:00;track;targetproportion;0.8421052631578947
0:03:03;sysmon;lights-2-failure;True
0:03:02;sysmon;scales-4-failure;True
0:03:02;communications;radioprompt;other
0:03:00;resman;tank-a-lossperminute;189
0:03:00;resman;tank-b-lossperminute;189

# Block n° 5. Technical load = 21.1 %
0:04:00;track;targetproportion;0.7894736842105263
0:04:07;sysmon;lights-1-failure;True
0:04:47;sysmon;scales-4-failure;True
0:04:01;communications;radioprompt;other
0:04:00;resman;tank-a-lossperminute;252
0:04:00;resman;tank-b-lossperminute;252

# Block n° 6. Technical load = 26.3 %
0:05:00;track;targetproportion;0.736842105263158
0:05:18;sysmon;lights-1-failure;True
0:05:32;sysmon;lights-2-failure;True
0:05:45;sysmon;scales-1-failure;True
0:05:09;communications;radioprompt;own
0:05:00;resman;tank-a-lossperminute;315
0:05:00;resman;tank-b-lossperminute;315

# Block n° 7. Technical load = 31.6 %
0:06:00;track;targetproportion;0.6842105263157895
0:06:43;sysmon;lights-2-failure;True
0:06:14;sysmon;scales-1-failure;True
0:06:39;sysmon;scales-3-failure;True
0:06:07;communications;radioprompt;own
0:06:00;resman;tank-a-lossperminute;378
0:06:00;resman;tank-b-lossperminute;378

# Block n° 8. Technical load = 36.8 %
0:07:00;track;targetproportion;0.631578947368421
0:07:20;sysmon;lights-2-failure;True
0:07:33;sysmon;lights-1-failure;True
0:07:11;sysmon;scales-1-failure;True
0:07:31;sysmon;scales-2-failure;True
0:07:11;communications;radioprompt;other
0:07:37;communications;radioprompt;own
0:07:00;resman;tank-a-lossperminute;442
0:07:00;resman;tank-b-lossperminute;442

# Block n° 9. Technical load = 42.1 %
0:08:00;track;targetproportion;0.5789473684210527
0:08:05;sysmon;lights-2-failure;True
0:08:19;sysmon;lights-1-failure;True
0:08:36;sysmon;lights-1-failure;True
0:08:18;sysmon;scales-4-failure;True
0:08:36;sysmon;scales-3-failure;True
0:08:06;communications;radioprompt;own
0:08:46;communications;radioprompt;other
0:08:00;resman;tank-a-lossperminute;505
0:08:00;resman;tank-b-lossperminute;505

# Block n° 10. Technical load = 47.4 %
0:09:00;track;targetproportion;0.5263157894736843
0:09:18;sysmon;lights-2-failure;True
0:09:47;sysmon;lights-1-failure;True
0:09:03;sysmon;scales-1-failure;True
0:09:18;sysmon;scales-4-failure;True
0:09:37;sysmon;scales-2-failure;True
0:09:02;communications;radioprompt;own
0:09:43;communications;radioprompt;other
0:09:00;resman;tank-a-lossperminute;568
0:09:00;resman;tank-b-lossperminute;568

# Block n° 11. Technical load = 52.6 %
0:10:00;track;targetproportion;0.4736842105263158
0:10:06;sysmon;lights-1-failure;True
0:10:22;sysmon;lights-2-failure;True
0:10:41;sysmon;lights-2-failure;True
0:10:03;sysmon;scales-1-failure;True
0:10:15;sysmon;scales-2-failure;True
0:10:38;sysmon;scales-4-failure;True
0:10:08;communications;radioprompt;own
0:10:28;communications;radioprompt;other
0:10:00;resman;tank-a-lossperminute;631
0:10:00;resman;tank-b-lossperminute;631

# Block n° 12. Technical load = 57.9 %
0:11:00;track;targetproportion;0.42105263157894735
0:11:07;sysmon;lights-2-failure;True
0:11:29;sysmon;lights-1-failure;True
0:11:41;sysmon;lights-1-failure;True
0:11:04;sysmon;scales-4-failure;True
0:11:36;sysmon;scales-3-failure;True
0:11:48;sysmon;scales-2-failure;True
0:11:17;communications;radioprompt;own
0:11:35;communications;radioprompt;other
0:11:00;resman;tank-a-lossperminute;694
0:11:00;resman;tank-b-lossperminute;694

# Block n° 13. Technical load = 63.2 %
0:12:00;track;targetproportion;0.368421052631579
0:12:00;sysmon;lights-2-failure;True
